county                                       u5   seats  per100  provs desert
mitchell (48)                               402      36     9.0      2 DESERT
giles (51)                                  402     129    32.1      2 DESERT
coleman (48)                                404      60    14.9      3 DESERT
nemaha (31)                                 406     294    72.4     15 
cottonwood (27)                             408     351    86.0     26 
swisher (48)                                409     120    29.3      1 DESERT
antelope (31)                               414     272    65.7     18 
roseau (27)                                 414     601   145.2     46 
amelia (51)                                 417      35     8.4      1 DESERT
archer (48)                                 418     331    79.2     13 
sibley (27)                                 420     434   103.3     38 
goochland (51)                              421      98    23.3      4 DESERT
merrick (31)                                423     331    78.3     11 
delta (48)                                  425      41     9.6      2 DESERT
howard (31)                                 431     225    52.2     10 
jefferson (31)                              431     292    67.7     15 
kanabec (27)                                436     479   109.9     31 
pawnee (40)                                 440     287    65.2      9 
kit carson (08)                             441     236    53.5     10 
dallam (48)                                 444      48    10.8      4 DESERT
skamania (53)                               445      68    15.3      2 DESERT
prince edward (51)                          448      26     5.8      2 DESERT
rio blanco (08)                             449     155    34.5      6 
somervell (48)                              451     437    96.9      5 
box butte (31)                              452     376    83.2     16 
southampton (51)                            455     179    39.3      3 
dawes (31)                                  456     246    53.9     13 
kingfisher (40)                             457     207    45.3     14 
conejos (08)                                459     119    25.9      3 DESERT
choctaw (40)                                461     477   103.5     17 
lee (51)                                    462      37     8.0      2 DESERT
gunnison (08)                               466    1200   257.5     18 
san juan (53)                               466     259    55.6      8 
houston (27)                                466     762   163.5     44 
clay (48)                                   468     288    61.5      8 
redwood (27)                                470     592   126.0     46 
waseca (27)                                 471     505   107.2     39 
butler (31)                                 475     286    60.2     11 
blanco (48)                                 480     176    36.7      3 
stephens (48)                               482     517   107.3      4 
appomattox (51)                             491     473    96.3      6 
cheyenne (31)                               494     470    95.1      6 
wayne (31)                                  495     382    77.2     17 
bailey (48)                                 496     202    40.7      5 
pitkin (08)                                 498    1215   244.0     20 
knox (31)                                   499     471    94.4     27 
jack (48)                                   499     199    39.9      5 
mcintosh (40)                               514     303    58.9     12 
page (51)                                   514     112    21.8      4 DESERT
wadena (27)                                 518     427    82.4     31 
pierce (31)                                 520     262    50.4     20 
winkler (48)                                521      80    15.4      3 DESERT
archuleta (08)                              530     434    81.9      9 
cedar (31)                                  531     271    51.0     10 
sabine (48)                                 539     393    72.9      4 
salem city (51)                             548       0     0.0      0 DESERT
hamilton (31)                               549     284    51.7      9 
rains (48)                                  549      61    11.1      3 DESERT
king william (51)                           554     132    23.8      7 DESERT
hubbard (27)                                560     650   116.1     48 
rio grande (08)                             562     521    92.7     13 
runnels (48)                                564     202    35.8      8 
westmoreland (51)                           566      23     4.1      2 DESERT
dimmit (48)                                 578     310    53.6      6 
pend oreille (53)                           578     159    27.5      4 DESERT
fillmore (27)                               588     664   112.9     38 
manassas park city (51)                     590       0     0.0      0 DESERT
park (08)                                   593    1767   298.0     17 
lincoln (53)                                593      24     4.0      1 DESERT
newton (48)                                 594      75    12.6      1 DESERT
mono (06)                                   595     151    25.4      7 DESERT
